chr	start	stop	ancestry
2	35897880	38505460	AFR
2	38505460	40400733	AFR
2	40400733	42109384	AFR
2	42109384	43135002	AFR
2	43135002	44070378	AFR
2	44070378	45817693	AFR
2	45817693	46830056	AFR
2	46830056	48888441	AFR
2	48888441	49702703	AFR
2	49702703	51320901	AFR
2	51320901	53410044	AFR
2	53410044	53960731	AFR
2	53960731	56276095	AFR
2	56276095	57666728	AFR
2	57666728	59611877	AFR
2	59611877	61149774	AFR
2	61149774	64398779	AFR
2	64398779	65709907	AFR
2	65709907	66999972	AFR
2	66999972	67756176	AFR
2	67756176	68898993	AFR
2	68898993	70801815	AFR
2	70801815	72970564	AFR
2	72970564	75265621	AFR
2	75265621	76027619	AFR
2	76027619	77852359	AFR
2	77852359	79999623	AFR
2	79999623	81365447	AFR
2	81365447	83213098	AFR
2	83213098	85757299	AFR
2	85757299	87932777	AFR
2	87932777	94141328	AFR
2	94141328	99585603	AFR
2	99585603	100938500	AFR
2	100938500	101860145	AFR
2	101860145	104749707	AFR
2	104749707	105460168	AFR
2	105460168	108314474	AFR
2	108314474	109986279	AFR
2	109986279	111337091	AFR
2	111337091	113164699	AFR
2	113164699	113709230	AFR
2	113709230	116027984	AFR
2	116027984	118828378	AFR
2	118828378	120600679	AFR
2	120600679	123014639	AFR
2	123014639	123974429	AFR
2	123974429	125075702	AFR
2	125075702	126617179	AFR
2	126617179	128450572	AFR
2	128450572	129771320	AFR
2	129771320	132971158	AFR
2	132971158	134400811	AFR
2	134400811	136286437	AFR
2	136286437	137396990	AFR
2	137396990	138752687	AFR
2	138752687	141048841	AFR
2	141048841	142518223	AFR
2	142518223	144463438	AFR
2	144463438	145600865	AFR
2	145600865	148446801	AFR
2	148446801	150413572	AFR
2	150413572	150987211	AFR
2	150987211	152321985	AFR
2	152321985	154534119	AFR
2	154534119	156072670	AFR
2	156072670	159347299	AFR
2	159347299	159729716	AFR
2	159729716	162765906	AFR
2	162765906	164749533	AFR
2	164749533	168082993	AFR
2	168082993	170584014	AFR
2	170584014	173259663	AFR
2	173259663	176210517	AFR
2	176210517	179345997	AFR
2	179345997	183494001	AFR
2	183494001	185380926	AFR
2	185380926	190176472	AFR
2	190176472	193177569	AFR
2	193177569	195583182	AFR
2	195583182	197263244	AFR
2	197263244	201967371	AFR
2	201967371	204210045	AFR
2	204210045	207793095	AFR
2	207793095	209409339	AFR
2	209409339	212164044	AFR
2	212164044	213623558	AFR
2	213623558	215585114	AFR
2	215585114	217079618	AFR
2	217079618	217801700	AFR
2	217801700	219735696	AFR
2	219735696	221154863	AFR
2	221154863	222245315	AFR
2	222245315	223717779	AFR
2	223717779	226699811	AFR
2	226699811	229057212	AFR
2	229057212	230165459	AFR
2	230165459	231683901	AFR
2	231683901	233792846	AFR
2	233792846	235613517	AFR
2	235613517	236769360	AFR
2	236769360	237545687	AFR
2	237545687	238911533	AFR
2	238911533	240151076	AFR
2	240151076	241014667	AFR
2	241014667	242171545	AFR
3	11805	636875	AFR
3	636875	1958799	AFR
3	1958799	2842205	AFR
3	2842205	4068016	AFR
3	4068016	5067521	AFR
3	5067521	6184735	AFR
3	6184735	7645821	AFR
3	7645821	8264355	AFR
3	8264355	8992513	AFR
3	8992513	11033328	AFR
3	11033328	13011274	AFR
3	13011274	14409660	AFR
3	14409660	16633880	AFR
3	16633880	18844666	AFR
3	18844666	19785096	AFR
3	19785096	21226839	AFR
3	21226839	23083257	AFR
3	23083257	24718031	AFR
3	24718031	26228951	AFR
3	26228951	29278762	AFR
3	29278762	30444095	AFR
3	30444095	31397764	AFR
3	31397764	32973200	AFR
3	32973200	33948135	AFR
3	33948135	35989116	AFR
3	35989116	38685835	AFR
3	38685835	39561839	AFR
3	39561839	42376395	AFR
3	42376395	45780945	AFR
3	45780945	49619356	AFR
3	49619356	54867208	AFR
3	54867208	56813744	AFR
3	56813744	59772948	AFR
3	59772948	62064327	AFR
3	62064327	63684523	AFR
3	63684523	65287994	AFR
3	65287994	67037952	AFR
3	67037952	69741006	AFR
3	69741006	70432919	AFR
3	70432919	72159735	AFR
3	72159735	73556121	AFR
3	73556121	75938196	AFR
3	75938196	77102667	AFR
3	77102667	77678357	AFR
3	77678357	81379799	AFR
3	81379799	82626659	AFR
3	82626659	84275728	AFR
3	84275728	86691103	AFR
3	86691103	86920369	AFR
3	86920369	88205670	AFR
3	88205670	90720182	AFR
3	90720182	94486907	AFR
3	94486907	95488230	AFR
3	95488230	96710201	AFR
3	96710201	98497106	AFR
3	98497106	99396885	AFR
3	99396885	102182934	AFR
3	102182934	104396240	AFR
3	104396240	105976568	AFR
3	105976568	106040901	AFR
3	106040901	106860968	AFR
3	106860968	108918324	AFR
3	108918324	110795770	AFR
3	110795770	112878180	AFR
3	112878180	115569791	AFR
3	115569791	117355753	AFR
3	117355753	117998723	AFR
3	117998723	120666395	AFR
3	120666395	122966151	AFR
3	122966151	123463505	AFR
3	123463505	125218852	AFR
3	125218852	126098888	AFR
3	126098888	128155347	AFR
3	128155347	130525891	AFR
3	130525891	132401345	AFR
3	132401345	133526091	AFR
3	133526091	135749505	AFR
3	135749505	137652817	AFR
3	137652817	140383100	AFR
3	140383100	141292082	AFR
3	141292082	143178674	AFR
3	143178674	144924445	AFR
3	144924445	146524885	AFR
3	146524885	148637034	AFR
3	148637034	150896936	AFR
3	150896936	151525824	AFR
3	151525824	153344681	AFR
3	153344681	155084953	AFR
3	155084953	156861950	AFR
3	156861950	159759704	AFR
3	159759704	160634531	AFR
3	160634531	163825218	AFR
3	163825218	166219083	AFR
3	166219083	167811493	AFR
3	167811493	169476456	AFR
3	169476456	171383767	AFR
3	171383767	172578359	AFR
3	172578359	173758246	AFR
3	173758246	175274410	AFR
3	175274410	176977625	AFR
3	176977625	179658274	AFR
3	179658274	180813343	AFR
3	180813343	183392369	AFR
3	183392369	184399049	AFR
3	184399049	185350467	AFR
3	185350467	186886969	AFR
3	186886969	187912319	AFR
3	187912319	189840320	AFR
3	189840320	190867281	AFR
3	190867281	192208271	AFR
3	192208271	194247707	AFR
3	194247707	195493513	AFR
3	195493513	196825599	AFR
3	196825599	198190508	AFR
4	10208	997977	AFR
4	997977	1683410	AFR
4	1683410	3706483	AFR
4	3706483	5014370	AFR
4	5014370	5820186	AFR
4	5820186	6485716	AFR
4	6485716	7662843	AFR
4	7662843	8736256	AFR
4	8736256	9369650	AFR
4	9369650	11411001	AFR
4	11411001	12108606	AFR
4	12108606	14288097	AFR
4	14288097	14864571	AFR
4	14864571	15913413	AFR
4	15913413	17238212	AFR
4	17238212	17789471	AFR
4	17789471	20485028	AFR
4	20485028	21692044	AFR
4	21692044	23769405	AFR
4	23769405	25733420	AFR
4	25733420	27668600	AFR
4	27668600	29172425	AFR
4	29172425	31203895	AFR
4	31203895	32592485	AFR
4	32592485	34345501	AFR
4	34345501	36538961	AFR
4	36538961	37763807	AFR
4	37763807	38201552	AFR
4	38201552	40199965	AFR
4	40199965	42214022	AFR
4	42214022	43963693	AFR
4	43963693	45690661	AFR
4	45690661	49487762	AFR
4	49487762	54563281	AFR
4	54563281	55382041	AFR
4	55382041	56771733	AFR
4	56771733	58069777	AFR
4	58069777	58495267	AFR
4	58495267	59404078	AFR
4	59404078	61102940	AFR
4	61102940	63476053	AFR
4	63476053	66172236	AFR
4	66172236	67510349	AFR
4	67510349	68706712	AFR
4	68706712	70148902	AFR
4	70148902	71151257	AFR
4	71151257	72640498	AFR
4	72640498	74623461	AFR
4	74623461	76431452	AFR
4	76431452	78962856	AFR
4	78962856	79202252	AFR
4	79202252	81206568	AFR
4	81206568	82523100	AFR
4	82523100	83879322	AFR
4	83879322	85682995	AFR
4	85682995	88390264	AFR
4	88390264	90640860	AFR
4	90640860	92103904	AFR
4	92103904	94681547	AFR
4	94681547	96103691	AFR
4	96103691	99416677	AFR
4	99416677	100213343	AFR
4	100213343	101208142	AFR
4	101208142	103885346	AFR
4	103885346	105958422	AFR
4	105958422	108716789	AFR
4	108716789	110111864	AFR
4	110111864	112325437	AFR
4	112325437	114375518	AFR
4	114375518	115296550	AFR
4	115296550	116629978	AFR
4	116629978	119026207	AFR
4	119026207	119979447	AFR
4	119979447	121737785	AFR
4	121737785	123366861	AFR
4	123366861	124550748	AFR
4	124550748	126353247	AFR
4	126353247	128761088	AFR
4	128761088	130180860	AFR
4	130180860	131748595	AFR
4	131748595	132793626	AFR
4	132793626	135645027	AFR
4	135645027	137622890	AFR
4	137622890	138390943	AFR
4	138390943	140129943	AFR
4	140129943	141890305	AFR
4	141890305	144275903	AFR
4	144275903	146560867	AFR
4	146560867	148247291	AFR
4	148247291	149581729	AFR
4	149581729	151079629	AFR
4	151079629	153095066	AFR
4	153095066	153839142	AFR
4	153839142	156674179	AFR
4	156674179	157538984	AFR
4	157538984	159844150	AFR
4	159844150	161319934	AFR
4	161319934	162582220	AFR
4	162582220	164200248	AFR
4	164200248	165339827	AFR
4	165339827	166727303	AFR
4	166727303	168037633	AFR
4	168037633	169760225	AFR
4	169760225	171988862	AFR
4	171988862	173554805	AFR
4	173554805	175652383	AFR
4	175652383	178473419	AFR
4	178473419	179388074	AFR
4	179388074	181302678	AFR
4	181302678	182773068	AFR
4	182773068	183522933	AFR
4	183522933	185468689	AFR
4	185468689	186338053	AFR
4	186338053	188233836	AFR
4	188233836	188960790	AFR
4	188960790	190183759	AFR
5	11875	1415514	AFR
5	1415514	2802168	AFR
5	2802168	3609308	AFR
5	3609308	5132110	AFR
5	5132110	5798740	AFR
5	5798740	6120548	AFR
5	6120548	7102341	AFR
5	7102341	8890126	AFR
5	8890126	9718684	AFR
5	9718684	11172129	AFR
5	11172129	12126889	AFR
5	12126889	14069876	AFR
5	14069876	16412732	AFR
5	16412732	17807893	AFR
5	17807893	19113994	AFR
5	19113994	20562332	AFR
5	20562332	22151519	AFR
5	22151519	23287263	AFR
5	23287263	26412192	AFR
5	26412192	27079690	AFR
5	27079690	28733481	AFR
5	28733481	31390536	AFR
5	31390536	32671769	AFR
5	32671769	33578533	AFR
5	33578533	35049997	AFR
5	35049997	36361548	AFR
5	36361548	38384098	AFR
5	38384098	39692203	AFR
5	39692203	44047640	AFR
5	44047640	44110778	AFR
5	44110778	51994301	AFR
5	51994301	54395224	AFR
5	54395224	56269448	AFR
5	56269448	57432488	AFR
5	57432488	58560303	AFR
5	58560303	59037214	AFR
5	59037214	59146198	AFR
5	59146198	62882131	AFR
5	62882131	63391611	AFR
5	63391611	67255217	AFR
5	67255217	68709807	AFR
5	68709807	71945686	AFR
5	71945686	74212766	AFR
5	74212766	76452116	AFR
5	76452116	78766092	AFR
5	78766092	81768312	AFR
5	81768312	82786829	AFR
5	82786829	84662165	AFR
5	84662165	86471952	AFR
5	86471952	91187194	AFR
5	91187194	91936003	AFR
5	91936003	94124102	AFR
5	94124102	96438676	AFR
5	96438676	97374441	AFR
5	97374441	98860478	AFR
5	98860478	101259427	AFR
5	101259427	102698401	AFR
5	102698401	103696247	AFR
5	103696247	107467076	AFR
5	107467076	109299406	AFR
5	109299406	110878201	AFR
5	110878201	112645315	AFR
5	112645315	113789959	AFR
5	113789959	114827798	AFR
5	114827798	116495609	AFR
5	116495609	117747004	AFR
5	117747004	118591680	AFR
5	118591680	119669023	AFR
5	119669023	121629471	AFR
5	121629471	122412605	AFR
5	122412605	124579157	AFR
5	124579157	125792996	AFR
5	125792996	127606214	AFR
5	127606214	128779731	AFR
5	128779731	131756696	AFR
5	131756696	134393138	AFR
5	134393138	137041725	AFR
5	137041725	140031102	AFR
5	140031102	142697096	AFR
5	142697096	143970961	AFR
5	143970961	146687375	AFR
5	146687375	148838010	AFR
5	148838010	151182313	AFR
5	151182313	153602546	AFR
5	153602546	155946961	AFR
5	155946961	159073079	AFR
5	159073079	159967017	AFR
5	159967017	161556551	AFR
5	161556551	162954046	AFR
5	162954046	165555355	AFR
5	165555355	167974558	AFR
5	167974558	169412658	AFR
5	169412658	170015438	AFR
5	170015438	171027512	AFR
5	171027512	172617363	AFR
5	172617363	173732810	AFR
5	173732810	175042773	AFR
5	175042773	176539675	AFR
5	176539675	178327315	AFR
5	178327315	178870500	AFR
5	178870500	180191025	AFR
5	180191025	181362530	AFR
6	121495	1134059	AFR
6	1134059	2603099	AFR
6	2603099	3203299	AFR
6	3203299	4618024	AFR
6	4618024	5788973	AFR
6	5788973	6675047	AFR
6	6675047	8259177	AFR
6	8259177	10243227	AFR
6	10243227	11711043	AFR
6	11711043	13354437	AFR
6	13354437	14136197	AFR
6	14136197	16807772	AFR
6	16807772	19453617	AFR
6	19453617	21684705	AFR
6	21684705	23199645	AFR
6	23199645	24016051	AFR
6	24016051	25762418	AFR
6	25762418	28096077	AFR
6	28096077	29635735	AFR
6	29635735	30466671	AFR
6	30466671	31300555	AFR
6	31300555	32004593	AFR
6	32004593	32531998	AFR
6	32531998	33306552	AFR
6	33306552	36330040	AFR
6	36330040	37609762	AFR
6	37609762	39225862	AFR
6	39225862	41417731	AFR
6	41417731	43881582	AFR
6	43881582	45012604	AFR
6	45012604	47741960	AFR
6	47741960	48545299	AFR
6	48545299	50636823	AFR
6	50636823	52731260	AFR
6	52731260	54027648	AFR
6	54027648	54560430	AFR
6	54560430	56240240	AFR
6	56240240	60230066	AFR
6	60230066	61554275	AFR
6	61554275	62775531	AFR
6	62775531	65055849	AFR
6	65055849	66328321	AFR
6	66328321	67253956	AFR
6	67253956	68359816	AFR
6	68359816	70642109	AFR
6	70642109	71740877	AFR
6	71740877	72617517	AFR
6	72617517	74752732	AFR
6	74752732	74896681	AFR
6	74896681	75881397	AFR
6	75881397	77277807	AFR
6	77277807	79813887	AFR
6	79813887	80800805	AFR
6	80800805	84328677	AFR
6	84328677	85516631	AFR
6	85516631	87947274	AFR
6	87947274	89264287	AFR
6	89264287	90383721	AFR
6	90383721	91602864	AFR
6	91602864	93115303	AFR
6	93115303	93645144	AFR
6	93645144	96042213	AFR
6	96042213	97727073	AFR
6	97727073	99840088	AFR
6	99840088	102187976	AFR
6	102187976	103535520	AFR
6	103535520	105869037	AFR
6	105869037	107093814	AFR
6	107093814	108957222	AFR
6	108957222	110531545	AFR
6	110531545	111124427	AFR
6	111124427	113899578	AFR
6	113899578	114977813	AFR
6	114977813	117352428	AFR
6	117352428	118576889	AFR
6	118576889	121579198	AFR
6	121579198	123592379	AFR
6	123592379	126347894	AFR
6	126347894	129399682	AFR
6	129399682	130511673	AFR
6	130511673	131930599	AFR
6	131930599	134172809	AFR
6	134172809	135614756	AFR
6	135614756	138017959	AFR
6	138017959	139524659	AFR
6	139524659	141966918	AFR
6	141966918	144104851	AFR
6	144104851	147527575	AFR
6	147527575	148600273	AFR
6	148600273	149290973	AFR
6	149290973	152099368	AFR
6	152099368	153545906	AFR
6	153545906	157084144	AFR
6	157084144	159184416	AFR
6	159184416	161425383	AFR
6	161425383	162381712	AFR
6	162381712	163671259	AFR
6	163671259	165782324	AFR
6	165782324	167177457	AFR
6	167177457	167655356	AFR
6	167655356	168177306	AFR
6	168177306	169068435	AFR
6	169068435	169758772	AFR
6	169758772	170741882	AFR
7	31439	465594	AFR
7	465594	1196882	AFR
7	1196882	2526596	AFR
7	2526596	4294769	AFR
7	4294769	4747241	AFR
7	4747241	6066459	AFR
7	6066459	7316700	AFR
7	7316700	9083966	AFR
7	9083966	9324043	AFR
7	9324043	10066203	AFR
7	10066203	11637588	AFR
7	11637588	12649989	AFR
7	12649989	13638368	AFR
7	13638368	14975074	AFR
7	14975074	15953576	AFR
7	15953576	17484523	AFR
7	17484523	19099833	AFR
7	19099833	20085312	AFR
7	20085312	22368393	AFR
7	22368393	23118383	AFR
7	23118383	24860370	AFR
7	24860370	27313680	AFR
7	27313680	28673617	AFR
7	28673617	30138553	AFR
7	30138553	32418964	AFR
7	32418964	34242613	AFR
7	34242613	35315851	AFR
7	35315851	38683432	AFR
7	38683432	38895799	AFR
7	38895799	40222357	AFR
7	40222357	42458289	AFR
7	42458289	44095295	AFR
7	44095295	46208246	AFR
7	46208246	49594618	AFR
7	49594618	51607522	AFR
7	51607522	52922119	AFR
7	52922119	54839029	AFR
7	54839029	57317522	AFR
7	57317522	62511825	AFR
7	62511825	65584105	AFR
7	65584105	66994269	AFR
7	66994269	68156337	AFR
7	68156337	68630277	AFR
7	68630277	69839107	AFR
7	69839107	71750563	AFR
7	71750563	73319071	AFR
7	73319071	77477109	AFR
7	77477109	78438567	AFR
7	78438567	80259194	AFR
7	80259194	82392081	AFR
7	82392081	83796271	AFR
7	83796271	84578221	AFR
7	84578221	88193617	AFR
7	88193617	89115990	AFR
7	89115990	91547111	AFR
7	91547111	92968038	AFR
7	92968038	95439134	AFR
7	95439134	98003802	AFR
7	98003802	99823655	AFR
7	99823655	101555644	AFR
7	101555644	103939999	AFR
7	103939999	104181926	AFR
7	104181926	105323802	AFR
7	105323802	108652797	AFR
7	108652797	112147676	AFR
7	112147676	113684352	AFR
7	113684352	117280663	AFR
7	117280663	118724047	AFR
7	118724047	122294932	AFR
7	122294932	123861294	AFR
7	123861294	125977349	AFR
7	125977349	128351208	AFR
7	128351208	130291934	AFR
7	130291934	131547101	AFR
7	131547101	132173106	AFR
7	132173106	134623195	AFR
7	134623195	136288708	AFR
7	136288708	137976843	AFR
7	137976843	138633942	AFR
7	138633942	140256468	AFR
7	140256468	141436424	AFR
7	141436424	142742457	AFR
7	142742457	144363275	AFR
7	144363275	146841869	AFR
7	146841869	148119132	AFR
7	148119132	149804589	AFR
7	149804589	151197452	AFR
7	151197452	152902106	AFR
7	152902106	153804583	AFR
7	153804583	154760466	AFR
7	154760466	156248754	AFR
7	156248754	157743930	AFR
7	157743930	159334873	AFR
8	71179	566193	AFR
8	566193	1343672	AFR
8	1343672	2726908	AFR
8	2726908	3177573	AFR
8	3177573	3690082	AFR
8	3690082	4623347	AFR
8	4623347	5201355	AFR
8	5201355	6176274	AFR
8	6176274	6699594	AFR
8	6699594	8206762	AFR
8	8206762	9298227	AFR
8	9298227	9822124	AFR
8	9822124	11616417	AFR
8	11616417	13123006	AFR
8	13123006	13858887	AFR
8	13858887	14535552	AFR
8	14535552	15851692	AFR
8	15851692	17443546	AFR
8	17443546	18088733	AFR
8	18088733	19634643	AFR
8	19634643	20549675	AFR
8	20549675	23337415	AFR
8	23337415	24350481	AFR
8	24350481	25936638	AFR
8	25936638	27615232	AFR
8	27615232	28677724	AFR
8	28677724	29470407	AFR
8	29470407	30430145	AFR
8	30430145	32262855	AFR
8	32262855	33308210	AFR
8	33308210	37613869	AFR
8	37613869	39081009	AFR
8	39081009	40845798	AFR
8	40845798	41865800	AFR
8	41865800	42823041	AFR
8	42823041	46497165	AFR
8	46497165	49708619	AFR
8	49708619	50892695	AFR
8	50892695	52972483	AFR
8	52972483	53543579	AFR
8	53543579	54955222	AFR
8	54955222	57285509	AFR
8	57285509	57867436	AFR
8	57867436	59557819	AFR
8	59557819	62514267	AFR
8	62514267	63020112	AFR
8	63020112	66053193	AFR
8	66053193	68063355	AFR
8	68063355	71102974	AFR
8	71102974	73082097	AFR
8	73082097	74877328	AFR
8	74877328	77103375	AFR
8	77103375	78839895	AFR
8	78839895	81045141	AFR
8	81045141	82816980	AFR
8	82816980	83210130	AFR
8	83210130	84646455	AFR
8	84646455	86773856	AFR
8	86773856	88074817	AFR
8	88074817	89354598	AFR
8	89354598	91958394	AFR
8	91958394	93993372	AFR
8	93993372	95193692	AFR
8	95193692	96720275	AFR
8	96720275	98398859	AFR
8	98398859	100443803	AFR
8	100443803	102563008	AFR
8	102563008	103968998	AFR
8	103968998	106399135	AFR
8	106399135	107741136	AFR
8	107741136	108691962	AFR
8	108691962	110864113	AFR
8	110864113	113771549	AFR
8	113771549	117757778	AFR
8	117757778	119250018	AFR
8	119250018	121611441	AFR
8	121611441	123530245	AFR
8	123530245	124555950	AFR
8	124555950	125855635	AFR
8	125855635	127392794	AFR
8	127392794	128785868	AFR
8	128785868	130542609	AFR
8	130542609	132339946	AFR
8	132339946	134162156	AFR
8	134162156	136297622	AFR
8	136297622	138392084	AFR
8	138392084	140485790	AFR
8	140485790	141785016	AFR
8	141785016	143155551	AFR
8	143155551	145075767	AFR
9	10648	902582	AFR
9	902582	1147553	AFR
9	1147553	1622884	AFR
9	1622884	2695808	AFR
9	2695808	3764559	AFR
9	3764559	5441389	AFR
9	5441389	6611329	AFR
9	6611329	7899742	AFR
9	7899742	8881741	AFR
9	8881741	9895423	AFR
9	9895423	10879518	AFR
9	10879518	12278206	AFR
9	12278206	14342891	AFR
9	14342891	16659821	AFR
9	16659821	17993646	AFR
9	17993646	20177211	AFR
9	20177211	22139867	AFR
9	22139867	23657138	AFR
9	23657138	25774100	AFR
9	25774100	27637390	AFR
9	27637390	28898174	AFR
9	28898174	31837252	AFR
9	31837252	32581661	AFR
9	32581661	34272092	AFR
9	34272092	36250668	AFR
9	36250668	37731638	AFR
9	37731638	42639706	AFR
9	42639706	69101139	AFR
9	69101139	71311262	AFR
9	71311262	71702445	AFR
9	71702445	72288806	AFR
9	72288806	72855093	AFR
9	72855093	75149920	AFR
9	75149920	76133061	AFR
9	76133061	76837420	AFR
9	76837420	78768118	AFR
9	78768118	79915616	AFR
9	79915616	81596906	AFR
9	81596906	83195309	AFR
9	83195309	85487735	AFR
9	85487735	87583965	AFR
9	87583965	89616586	AFR
9	89616586	90896966	AFR
9	90896966	93047880	AFR
9	93047880	95651478	AFR
9	95651478	98415110	AFR
9	98415110	101111504	AFR
9	101111504	102505286	AFR
9	102505286	105069068	AFR
9	105069068	106391566	AFR
9	106391566	108075697	AFR
9	108075697	110017372	AFR
9	110017372	111957098	AFR
9	111957098	113638656	AFR
9	113638656	115050066	AFR
9	115050066	117267990	AFR
9	117267990	119021262	AFR
9	119021262	121885780	AFR
9	121885780	124089994	AFR
9	124089994	126061564	AFR
9	126061564	127357946	AFR
9	127357946	130133504	AFR
9	130133504	130788377	AFR
9	130788377	133004155	AFR
9	133004155	134257408	AFR
9	134257408	134700695	AFR
9	134700695	135988897	AFR
9	135988897	137341360	AFR
9	137341360	138221689	AFR
10	11501	1705555	AFR
10	1705555	3056951	AFR
10	3056951	4487883	AFR
10	4487883	5564622	AFR
10	5564622	6937657	AFR
10	6937657	8732279	AFR
10	8732279	10207461	AFR
10	10207461	12758716	AFR
10	12758716	13732376	AFR
10	13732376	15185410	AFR
10	15185410	16025704	AFR
10	16025704	17297771	AFR
10	17297771	18699878	AFR
10	18699878	19430472	AFR
10	19430472	21003804	AFR
10	21003804	23119210	AFR
10	23119210	24345726	AFR
10	24345726	26597608	AFR
10	26597608	29111737	AFR
10	29111737	30742589	AFR
10	30742589	32098141	AFR
10	32098141	34846815	AFR
10	34846815	36597992	AFR
10	36597992	37678928	AFR
10	37678928	42729485	AFR
10	42729485	42877613	AFR
10	42877613	44952879	AFR
10	44952879	47907130	AFR
10	47907130	49633604	AFR
10	49633604	51840358	AFR
10	51840358	53081911	AFR
10	53081911	54611248	AFR
10	54611248	56050188	AFR
10	56050188	57005772	AFR
10	57005772	57544056	AFR
10	57544056	59314296	AFR
10	59314296	60900382	AFR
10	60900382	62019923	AFR
10	62019923	64036249	AFR
10	64036249	66007215	AFR
10	66007215	66506430	AFR
10	66506430	69051069	AFR
10	69051069	69868214	AFR
10	69868214	71750009	AFR
10	71750009	75380040	AFR
10	75380040	77708516	AFR
10	77708516	79047506	AFR
10	79047506	80126158	AFR
10	80126158	82233285	AFR
10	82233285	83700228	AFR
10	83700228	86087237	AFR
10	86087237	88245233	AFR
10	88245233	89523701	AFR
10	89523701	91577181	AFR
